Freq.	I(C1)	I(L1)	I(R1)	I(R2)	I(V1)
5.12861383991360e+004	(-2.51057168007471e+001dB,4.48992088067632e-001°)	(-5.84639553070810e+001dB,-8.91793515528147e+001°)	(-2.51057168007471e+001dB,4.48992088067915e-001°)	(-5.84639553070810e+001dB,-8.91793515528147e+001°)	(-2.51025033300302e+001dB,1.79218512875891e+002°)
5.24807460249768e+004	(-2.51057047976811e+001dB,4.38772184605057e-001°)	(-5.86639152102807e+001dB,-8.91980293239294e+001°)	(-2.51057047976811e+001dB,4.38772184605054e-001°)	(-5.86639152102807e+001dB,-8.91980293239294e+001°)	(-2.51026358828453e+001dB,1.79236281216043e+002°)
5.37031796370248e+004	(-2.51056933348111e+001dB,4.28784887567100e-001°)	(-5.88638769177882e+001dB,-8.92162821017814e+001°)	(-2.51056933348111e+001dB,4.28784887567153e-001°)	(-5.88638769177882e+001dB,-8.92162821017814e+001°)	(-2.51027624762884e+001dB,1.79253646465232e+002°)
5.49540873857620e+004	(-2.51056823878270e+001dB,4.19024903986972e-001°)	(-5.90638403484265e+001dB,-8.92341195494071e+001°)	(-2.51056823878270e+001dB,4.19024903986182e-001°)	(-5.90638403484265e+001dB,-8.92341195494071e+001°)	(-2.51028833780053e+001dB,1.79270617707877e+002°)
5.62341325190344e+004	(-2.51056719335126e+001dB,4.09487061256618e-001°)	(-5.92638054246698e+001dB,-8.92515511106189e+001°)	(-2.51056719335126e+001dB,4.09487061256606e-001°)	(-5.92638054246698e+001dB,-8.92515511106189e+001°)	(-2.51029988436455e+001dB,1.79287203827671e+002°)
5.75439937337152e+004	(-2.51056619496964e+001dB,4.00166304402706e-001°)	(-5.94637720724789e+001dB,-8.92685860149460e+001°)	(-2.51056619496964e+001dB,4.00166304403614e-001°)	(-5.94637720724789e+001dB,-8.92685860149460e+001°)	(-2.51031091173982e+001dB,1.79303413511757e+002°)
5.88843655355584e+004	(-2.51056524152045e+001dB,3.91057693413266e-001°)	(-5.96637402211448e+001dB,-8.92852332824665e+001°)	(-2.51056524152045e+001dB,3.91057693413005e-001°)	(-5.96637402211448e+001dB,-8.92852332824665e+001°)	(-2.51032144325042e+001dB,1.79319255254817e+002°)
6.02559586074352e+004	(-2.51056433098158e+001dB,3.82156400620858e-001°)	(-5.98637098031387e+001dB,-8.93015017285330e+001°)	(-2.51056433098158e+001dB,3.82156400621348e-001°)	(-5.98637098031387e+001dB,-8.93015017285330e+001°)	(-2.51033150117445e+001dB,1.79334737363105e+002°)
6.16595001861477e+004	(-2.51056346142194e+001dB,3.73457708165085e-001°)	(-6.00636807539696e+001dB,-8.93173999683921e+001°)	(-2.51056346142194e+001dB,3.73457708165084e-001°)	(-6.00636807539696e+001dB,-8.93173999683921e+001°)	(-2.51034110679081e+001dB,1.79349867958401e+002°)
6.30957344480187e+004	(-2.51056263099730e+001dB,3.64957005487190e-001°)	(-6.02636530120471e+001dB,-8.93329364217031e+001°)	(-2.51056263099730e+001dB,3.64957005487264e-001°)	(-6.02636530120471e+001dB,-8.93329364217031e+001°)	(-2.51035028042387e+001dB,1.79364654981917e+002°)
